id,status,term,usr,noteId,revokeID,branch_id,cAc_id
10000000001,101,NULL,5,NULL,NULL,1,400005
10000000002,101,NULL,5,NULL,NULL,1,400008
10000000003,101,NULL,5,NULL,NULL,1,400008
10000000004,101,NULL,5,NULL,NULL,1,400005
10000000005,101,NULL,5,NULL,NULL,1,400007
10000000006,101,NULL,5,NULL,NULL,1,400007
40000000003,101,NULL,1,NULL,NULL,4,400001
40000000004,101,NULL,1,NULL,NULL,4,400001
40000000005,101,NULL,1,NULL,NULL,4,400001
40000000006,101,NULL,1,NULL,NULL,4,400002
40000000007,101,NULL,1,NULL,NULL,4,400002
40000000008,101,NULL,1,NULL,NULL,4,400001
40000000009,101,NULL,1,NULL,NULL,4,400003
40000000010,101,NULL,1,NULL,NULL,4,400003
40000000011,101,NULL,1,NULL,NULL,4,400003
40000000012,101,NULL,1,NULL,NULL,4,400004
40000000013,101,NULL,1,NULL,NULL,4,400004
40000000014,101,NULL,1,NULL,NULL,4,400004
40000000015,101,NULL,1,NULL,NULL,4,400005
40000000016,101,NULL,1,NULL,NULL,4,400005
40000000017,101,NULL,1,NULL,NULL,4,400005
40000000018,101,NULL,1,NULL,NULL,4,400006
40000000019,101,NULL,1,NULL,NULL,4,400006
40000000020,101,NULL,1,NULL,NULL,4,400006
40000000021,101,NULL,1,NULL,NULL,4,400007
40000000022,101,NULL,1,NULL,NULL,4,400007
40000000023,101,NULL,1,NULL,NULL,4,400007
40000000024,101,NULL,1,NULL,NULL,4,400008
40000000025,101,NULL,1,NULL,NULL,4,400008
40000000026,101,NULL,1,NULL,NULL,4,400008
40000000027,101,NULL,1,NULL,NULL,4,400009
40000000028,101,NULL,1,NULL,NULL,4,400009
40000000029,101,NULL,1,NULL,NULL,4,400009
40000000030,101,NULL,1,NULL,NULL,4,400010
40000000031,101,NULL,1,NULL,NULL,4,400010
40000000032,101,NULL,1,NULL,NULL,4,400010
40000000033,101,NULL,1,NULL,NULL,4,400011
40000000034,101,NULL,1,NULL,NULL,4,400011
40000000035,101,NULL,1,NULL,NULL,4,400011
40000000038,101,NULL,1,NULL,NULL,4,400013
40000000039,101,NULL,1,NULL,NULL,4,400013
